split,capture_frame,source_frame,symbol_acc,pattern_acc,color_acc,blur,localize_source
test,frame_000002.png,frame_000000.png,86.391,86.475,98.919,43.718,yolo+contour-progressive
test,frame_000003.png,frame_000000.png,86.312,86.387,98.947,43.693,yolo+contour-progressive
test,frame_000004.png,frame_000000.png,87.706,87.739,99.270,43.389,yolo+contour-progressive
test,frame_000005.png,frame_000000.png,86.929,86.981,98.985,43.626,yolo+contour-progressive
test,frame_000006.png,frame_000000.png,87.851,87.888,99.364,43.463,yolo+contour-progressive
test,frame_000007.png,frame_000000.png,85.212,85.325,99.135,40.628,yolo+contour-progressive
test,frame_000014.png,frame_000003.png,77.007,78.326,96.622,40.500,yolo+contour-progressive
test,frame_000015.png,frame_000003.png,80.857,81.231,98.157,41.963,yolo+contour-progressive
test,frame_000016.png,frame_000003.png,82.513,82.710,98.484,42.329,yolo+contour-progressive
test,frame_000017.png,frame_000003.png,81.975,82.242,98.302,42.399,yolo+contour-progressive
test,frame_000034.png,frame_000008.png,82.639,82.831,98.452,41.706,yolo+contour-progressive
test,frame_000035.png,frame_000008.png,83.954,84.127,98.760,42.458,yolo+contour-progressive
test,frame_000036.png,frame_000008.png,84.291,84.417,98.859,41.969,yolo+contour-progressive
test,frame_000080.png,frame_000000.png,76.422,76.820,97.553,39.763,yolo+contour-progressive
test,frame_000082.png,frame_000000.png,76.516,76.857,97.745,39.839,yolo+contour-progressive
test,frame_000083.png,frame_000000.png,77.727,77.943,97.890,40.402,yolo+contour-progressive
test,frame_000085.png,frame_000000.png,80.436,80.647,98.171,40.798,yolo+contour-progressive
test,frame_000086.png,frame_000000.png,80.038,80.291,97.764,40.964,yolo+contour-progressive
test,frame_000087.png,frame_000000.png,81.404,81.568,98.381,41.540,yolo+contour-progressive
test,frame_000088.png,frame_000000.png,81.418,81.559,98.391,41.744,yolo+contour-progressive
test,frame_000089.png,frame_000000.png,82.125,82.293,98.550,42.641,yolo+contour-progressive
test,frame_000090.png,frame_000000.png,82.232,82.359,98.531,42.506,yolo+contour-progressive
test,frame_000091.png,frame_000000.png,83.472,83.575,98.714,42.224,yolo+contour-progressive
test,frame_000092.png,frame_000000.png,83.168,83.285,98.732,42.584,yolo+contour-progressive
test,frame_000093.png,frame_000000.png,83.341,83.444,98.742,42.559,yolo+contour-progressive
test,frame_000094.png,frame_000000.png,82.756,82.850,98.676,42.453,yolo+contour-progressive
test,frame_000096.png,frame_000000.png,85.283,85.367,98.910,43.496,yolo+contour-progressive
test,frame_000097.png,frame_000000.png,85.470,85.540,98.994,43.278,yolo+contour-progressive
test,frame_000098.png,frame_000000.png,84.623,84.745,98.910,43.312,yolo+contour-progressive
test,frame_000099.png,frame_000000.png,84.969,85.105,98.882,43.137,yolo+contour-progressive
test,frame_000100.png,frame_000000.png,84.866,84.983,98.765,43.252,yolo+contour-progressive
test,frame_000101.png,frame_000000.png,84.539,84.618,98.807,43.575,yolo+contour-progressive
test,frame_000102.png,frame_000000.png,84.941,85.030,98.980,43.490,yolo+contour-progressive
test,frame_000103.png,frame_000000.png,85.381,85.465,98.966,43.645,yolo+contour-progressive
test,frame_000104.png,frame_000000.png,84.847,84.913,98.821,42.662,yolo+contour-progressive
test,frame_000105.png,frame_000000.png,84.455,84.543,98.957,43.686,yolo+contour-progressive
test,frame_000106.png,frame_000000.png,85.694,85.769,99.013,43.235,yolo+contour-progressive
test,frame_000107.png,frame_000000.png,84.950,85.039,98.746,43.295,yolo+contour-progressive
test,frame_000108.png,frame_000000.png,85.142,85.208,98.854,43.975,yolo+contour-progressive
test,frame_000109.png,frame_000000.png,84.782,84.871,98.957,43.653,yolo+contour-progressive
